timestamp,platform,user,channel,intent,confidence,lang,rawMessage,cleanMessage,response
2018-6-26 15:05:23,socket,4b2e33e5-7a17-4bb1-eb96-23b60aa015f8,socket,works-by-something,1,fr,"Symphonie","Symphonie","Ok! Est-ce que tu veux ajouter quelque chose?"
2018-6-26 15:05:27,socket,4b2e33e5-7a17-4bb1-eb96-23b60aa015f8,socket,works-by - no,1,fr,"No","No",<result_card>
2018-6-26 15:06:12,fb,1978551662217032,1978551662217032,discover-artist,1,en,"Talk me about Vivaldo","Talk me about Vivaldi",<result_card>
2018-6-26 15:07:26,google_assistant,-,-,find-performance,1,en,"this week","this week","Yes! ...Le Monstre du labyrinthe at Philharmonie de Paris. "
2018-6-26 15:59:44,socket,a24fc77f-91a0-704c-c714-7070f7aea65e,socket,hello,1,en,"Hi","Hi","Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!"
2018-6-27 10:01:46,socket,a24fc77f-91a0-704c-c714-7070f7aea65e,socket,hello,1,en,"hi","hi","Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!"
2018-6-27 10:03:11,socket,a24fc77f-91a0-704c-c714-7070f7aea65e,socket,works-by,0.8600000143051147,en,"show me 3 works by mozart","show me 3 works by Mozart","Ok! Do you want to add some filters? Like the artist instruments, genre or composition period."
2018-6-27 11:32:34,socket,635caa99-94bd-87b3-135e-d60dc18cb994,socket,hello,1,en,"Hi","Hi","Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!"
2018-6-27 11:32:49,socket,635caa99-94bd-87b3-135e-d60dc18cb994,socket,hello,1,en,"Hi","Hi","Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!"
2018-6-28 09:03:00,socket,667ceb08-37ad-5137-4a86-3f739db26a5d,socket,hello,1,en,"Hi","Hi","Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!"
2018-6-29 12:35:34,socket,d766565b-4af3-99ea-8b6d-27ee512c0402,socket,hello,1,en,"Hi","Hi","Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!"
2018-6-29 12:35:41,socket,d766565b-4af3-99ea-8b6d-27ee512c0402,socket,hello,1,fr,"bonjour","bonjour","Salut! Je suis DOREMUS Bot! Tous les jours j'essaie d'apprendre informations sur la musique classique!"
2018-6-29 12:35:43,socket,d766565b-4af3-99ea-8b6d-27ee512c0402,socket,hello,1,en,"Hi","Hi","Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!"
2018-6-29 12:36:06,socket,d766565b-4af3-99ea-8b6d-27ee512c0402,socket,works-by,0.5199999809265137,fr,"donnes moi une chason de mozart","donnes moi une chanson de Mozart","Tu n'as spécifié pas beaucoup de filtres! Veux-tu ajouter quelque chose?"
2018-6-29 12:36:13,socket,d766565b-4af3-99ea-8b6d-27ee512c0402,socket,works-by - no,1,fr,"non","non",<result_card>
2018-6-29 12:36:21,socket,d766565b-4af3-99ea-8b6d-27ee512c0402,socket,works-by-something,0.75,fr,"chanson","chanson","Veux-tu ajouter quelque chose?"
2018-6-29 12:36:31,socket,d766565b-4af3-99ea-8b6d-27ee512c0402,socket,works-by,0.699999988079071,fr,"donne moi une oeuvre de mozart","donne moi une œuvre de Mozart","Tu n'as spécifié pas beaucoup de filtres! Veux-tu ajouter quelque chose?"
2018-6-29 12:36:37,socket,d766565b-4af3-99ea-8b6d-27ee512c0402,socket,works-by - no,1,fr,"non","non",<result_card>
2018-6-29 16:00:20,socket,08726b64-6e09-3d71-e03e-483081f938bf,socket,hello,1,en,"Hi","Hi","Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!"
